食物名称	热量（千卡）	钙（毫克）	核黄素（毫克）	脂肪（克）	铁（毫克）	维生素C（毫克）	膳食纤维（克）	锌（毫克）	胆固醇（毫克）	胡萝卜素（微克）	磷（毫克）	钠（毫克）	硫胺素（毫克）	蛋白质（克）	镁（毫克）	烟酸（毫克）	碳水化合物（克）	锰（毫克）	维生素E（毫克）	维生素A（微克）	铜（毫克）	钾（毫克）	视黄醇当量（微克）	硒（微克）
葫子	27	49	0.06	0.1	0	29	0.9	0.56	0	0.2	27	1.2	0.01	0.7	10	0.7	5.9	0	1.14	163	0.87	73	92.2	4.4
秋葵	37	45	0.09	0.1	0.1	4	3.9	0.23	0	0.7	65	3.9	0.05	2	29	1	7.1	0.28	1.03	52	0.07	95	86.5	0.51
白瓜	10	6	0.04	0	0.1	16	0.9	0.04	0	0.3	11	1	0.02	0.9	8	0.1	1.7	0.11	0.2	0	0.01	70	96.2	1.1
菜瓜	18	20	0.01	0.2	0.5	12	0.4	0.1	0	0.3	14	1.6	0.02	0.6	15	0.2	3.5	0.03	0.03	3	0.03	136	95	0.63
冬瓜	11	19	0.01	0.2	0.2	18	0.7	0.07	0	0.2	12	1.8	0.01	0.4	8	0.3	1.9	0.03	0.08	13	0.07	78	96.6	0.22
方瓜	13	40	0.01	0	0.2	2	0.6	0.97	0	0.3	13	4.4	0.01	0.8	9	0.6	2.5	0.03	0.37	23	0.02	4	95.8	0.31
佛手瓜	16	17	0.1	0.1	0.1	8	1.2	0.08	0	0.6	18	1	0.01	1.2	10	0.1	2.6	0.03	0	3	0.02	76	94.3	1.45
葫芦	15	16	0.01	0.1	0.4	11	0.8	0.14	0	0.4	15	0.6	0.02	0.7	7	0.4	2.7	0.08	0	7	0.04	87	95.3	0.49
黄瓜	15	24	0.03	0.2	0.5	9	0.5	0.18	0	0.3	24	4.9	0.02	0.8	15	0.2	2.4	0.06	0.49	15	0.05	102	95.8	0.38
节瓜	12	4	0.05	0.1	0.1	39	1.2	0.08	0	0.3	13	0.2	0.02	0.6	7	0.4	2.2	0.1	0.27	0	0.02	40	95.6	0.26	
金瓜	14	17	0.02	0.1	0.9	2	0.7	0.17	0	0.4	10	0.9	0.02	0.5	8	0.6	2.7	0	0.43	10	0.04	152	95.6	0.28
金丝瓜	37	25	0.03	2	0.3	1	0.8	1.77	0	0.8	28	2	0.02	3.3	13	0.7	1.4	0.11	0.01	2	0.13	90	91.7	0.76
苦瓜	19	14	0.03	0.1	0.7	56	1.4	0.36	0	0.6	35	2.5	0.03	1	18	0.4	3.5	0.16	0.85	17	0.06	256	93.4	0.36
南瓜	22	16	0.04	0.1	0.4	8	0.8	0.14	0	0.4	24	0.8	0.03	0.7	8	0.4	4.5	0.08	0.36	148	0.03	145	93.5	0.46
南瓜粉	320	171	0.7	2.1	278	7	11.5	1.4	0	5	307	83.6	0.04	7.1	18	12.5	68.1	0.69	26.61	10	0.9	411	6.2	2.3
蛇瓜	15	191	0.3	0.1	1.2	4	2	0.42	0	0.4	14	2.2	0.1	1.5	47	0.1	1.9	0.16	0	3	0.04	763	94.1	0.3
丝瓜	20	14	0.04	0.2	0.4	5	0.6	0.21	0	0.3	29	2.6	0.02	1	11	0.4	3.6	0.06	0.22	15	0.06	115	94.6	0.86
笋瓜	12	14	0.02	0	0.6	5	0.7	0.09	0	0.3	27	0	0.04	0.5	7	0	2.4	0.05	0.29	17	0.03	96	96.1	0
大蒜	126	39	0.06	0.2	1.2	7	1.1	0.88	0	1.1	117	19.6	0.04	4.5	21	0.6	26.5	0.29	1.07	5	0.22	302	66.6	3.09
大葱	30	29	0.05	0.3	0.7	17	1.3	0.4	0	0.5	38	4.8	0.03	1.7	19	0.5	5.2	0.28	0.3	10	0.08	144	91	0.67
细香葱	37	54	0	0.3	2.2	14	1.1	0	0	0	61	0	0.04	2.5	0	0.5	6.1	0	0	77	0	0	90	0
小葱	24	72	0.06	0.4	1.3	21	1.4	0.35	0	0.4	26	10.4	0.05	1.6	18	0.4	3.5	0.16	0.49	140	0.06	143	92.7	1.06
